filename,fold,target,category,esc10,src_file,take,gender,age
a40b9b8d-e4bc-457a-badf-f38bdbc0c358-1430016745385-1.7-m-04-hu.wav,1,0,hungry,False,1430016745385,A,m,4
02ead89b-aa02-453e-8b83-6ebde9fe7551-1430233132879-1.7-m-26-hu.wav,1,0,hungry,False,1430233132879,A,m,26
719bb382-a592-46b7-82d2-8b4a625263b7-1430376562788-1.7-m-48-hu.wav,1,0,hungry,False,1430376562788,A,m,48
81724071-bc5e-4e38-8f35-85a691af5721-1430737552979-1.7-m-04-hu.wav,1,0,hungry,False,1430737552979,A,m,4
602b06a7-31f0-4370-b35a-9cc81d205958-1430739609286-1.7-f-72-hu.wav,1,0,hungry,False,1430739609286,A,f,72
035c6b30-a145-42b9-8d0f-445cd9003d2c-1435948197257-1.7-m-04-hu.wav,1,0,hungry,False,1435948197257,A,m,4
63CA92F7-973A-4DCA-A410-7B19811A2478-1430041902-1.0-f-26-hu.wav,1,0,hungry,False,1430041902,A,f,26
2e25d0a5-0b2b-44ef-8491-e445b16ea75c-1430056332640-1.7-f-26-hu.wav,1,0,hungry,False,1430056332640,A,f,26
46002244-7304-45DC-BF69-B6EC2BB25009-1436902364-1.1-f-48-hu.wav,1,0,hungry,False,1436902364,A,f,48
f896b69d-6241-4b51-9c45-0d628bc827c1-1430090255303-1.7-m-04-hu.wav,1,0,hungry,False,1430090255303,A,m,4
08E9485B-2772-444B-A636-77E14DD14A8C-1431493453-1.0-m-04-hu.wav,1,0,hungry,False,1431493453,A,m,4
3bb2445a-9ae9-4dc8-9a2e-86c696ffa405-1430123758633-1.7-m-26-hu.wav,1,0,hungry,False,1430123758633,A,m,26
9fe37482-6a64-401d-b8b9-3e47d6ed9ac0-1430047362195-1.7-f-26-hu.wav,1,0,hungry,False,1430047362195,A,f,26
ed31b187-34af-4ff1-979c-3b8a5905fb7b-1430044897699-1.7-f-48-hu.wav,1,0,hungry,False,1430044897699,A,f,48
F24DE44B-762C-4149-AC92-96A5E57ED118-1430816918-1.0-m-04-hu.wav,1,0,hungry,False,1430816918,A,m,4
2F1C0515-EC8E-44C1-ABEA-E04EB475543A-1432143888-1.1-m-22-hu.wav,1,0,hungry,False,1432143888,A,m,22
52dfc27a-fbc4-4d9f-bbcf-6406c919324a-1430041657947-1.7-m-26-hu.wav,1,0,hungry,False,1430041657947,A,m,26
3bb2445a-9ae9-4dc8-9a2e-86c696ffa405-1430122005544-1.7-m-26-hu.wav,1,0,hungry,False,1430122005544,A,m,26
